INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION
10001813,08/03/2019 07:43:00 PM,,MAX,Y,B,M,29,DE,N,Y,120.05,Y
20080501,08/04/2019 01:09:51 AM,,MAX,Y,B,M,29,DE,N,Y,130.96,Y
35075,08/04/2019 10:01:34 PM,,MED,N,W,M,51,SSR,N,N,,Y
20206192,08/05/2019 05:08:40 PM,,MED,N,B,M,24,DE,N,N,130.96,N
20171670,08/06/2019 01:28:03 AM,,MAX,Y,O,M,30,DE,N,N,110-125.25,Y
6323,08/06/2019 01:56:33 AM,,MAX,Y,B,M,37,DE,N,N,110-125.25,Y
20206217,08/06/2019 07:13:34 PM,,MED,Y,O,M,66,DE,N,N,140.25,Y
20206251,08/07/2019 10:42:50 PM,,MIN,Y,O,M,67,DE,N,N,110-125.25,N
20157837,08/08/2019 11:11:00 AM,,MAX,Y,B,M,22,DE,N,Y,110-125.25,Y
20197482,08/08/2019 02:51:19 PM,,MAX,Y,B,M,19,DE,N,Y,110-125.25,Y
20174272,08/08/2019 02:56:58 PM,,MAX,N,B,M,22,DE,N,Y,265.03,Y
20190728,08/09/2019 07:05:00 PM,,MAX,N,B,M,24,DE,N,Y,110-125.25,Y
20206293,08/10/2019 12:52:00 AM,,MAX,N,B,M,21,DE,N,Y,125.25,Y
20007946,08/10/2019 12:54:00 AM,,MAX,Y,B,M,38,DE,N,Y,160.15,Y
20206302,08/10/2019 12:53:00 PM,,MED,N,A,M,45,DE,N,N,125.25,N
20206317,08/10/2019 10:49:00 PM,,MAX,Y,B,M,28,DE,N,Y,265.03,Y
20177320,08/11/2019 12:56:47 AM,,MAX,Y,B,M,21,DNS,N,N,,Y
122503,08/11/2019 07:20:50 PM,,MAX,Y,B,M,31,DE,N,Y,125.25,Y
20206339,08/12/2019 07:08:04 PM,,MAX,N,O,M,23,DE,N,N,125.25,Y
20132863,08/12/2019 09:03:59 PM,,MAX,Y,O,M,26,DE,N,Y,125.25,Y
20199944,08/13/2019 01:02:55 AM,,MAX,Y,B,M,26,DE,N,N,120.05,Y
20134408,08/13/2019 11:15:31 PM,,MAX,Y,B,M,24,DE,N,Y,125.25,Y
20206370,08/14/2019 12:59:13 PM,,MED,Y,B,M,28,DE,N,N,265.03,Y
20206387,08/14/2019 04:25:00 PM,,MED,Y,O,F,37,DE,N,N,125.25,Y
20206388,08/14/2019 04:27:00 PM,,MED,N,O,M,30,DE,N,N,125.25,N
98702,08/15/2019 08:11:48 PM,,MED,Y,O,M,37,DE,N,N,125.25,Y
